county,state,county_seat,parcel_number,owner_name,property_address,city,zip,amount_due,sale_date,sale_number,source_url,date_scraped,notes
Shelby,TN,Memphis,074037 H00118,,3544 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00118 | Alt parcel: 0740370H001180
Shelby,TN,Memphis,072107 B00067,,3079 ROCK BASS,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=072107 B00067 | Alt parcel: 0721070B000670
Shelby,TN,Memphis,032001  00002C,,558 SUZETTE,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=032001  00002C | Alt parcel: 0320010000002C
Shelby,TN,Memphis,D0215   00585,,0 WOODLAND TRACE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=D0215   00585 | Alt parcel: D0215000005850
Shelby,TN,Memphis,070053  00035,,1769 S SUTTON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=070053  00035 | Alt parcel: 07005300000350
Shelby,TN,Memphis,013026  00017C,,228 SIMPSON,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=013026  00017C | Alt parcel: 0130260000017C
Shelby,TN,Memphis,B0166  D00012,,6190 ELMORE,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=B0166  D00012 | Alt parcel: B016600D000120
Shelby,TN,Memphis,B0149   00056,,0 OLD BROWNSVILLE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=B0149   00056 | Alt parcel: B0149000000560
Shelby,TN,Memphis,040004  00017,,1350 KNEY,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=040004  00017 | Alt parcel: 04000400000170
Shelby,TN,Memphis,058102  00016,,4049 WILLOWVIEW,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=058102  00016 | Alt parcel: 05810200000160
Shelby,TN,Memphis,073041  00139R,,0 US HIGHWAY 78,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=073041  00139R | Alt parcel: 0730410000139R
Shelby,TN,Memphis,057029  00041,,137 PERKINS,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=057029  00041 | Alt parcel: 05702900000410
Shelby,TN,Memphis,074108  00017,,3506 FOX LEIGH,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074108  00017 | Alt parcel: 07410800000170
Shelby,TN,Memphis,026012  00002,,1093 SAXON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=026012  00002 | Alt parcel: 02601200000020
Shelby,TN,Memphis,034036  00004,,1617 S ORLEANS,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=034036  00004 | Alt parcel: 03403600000040
Shelby,TN,Memphis,M0115   00051Z,,0 W UNION,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=M0115   00051Z | Alt parcel: M011500000051Z
Shelby,TN,Memphis,080008  00371,,6253 RIVER GROVE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=080008  00371 | Alt parcel: 08000800003710
Shelby,TN,Memphis,034053  00019,,1568 MARJORIE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=034053  00019 | Alt parcel: 03405300000190
Shelby,TN,Memphis,070041  00003,,3011 SIGNAL,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=070041  00003 | Alt parcel: 07004100000030
Shelby,TN,Memphis,083004  00004,,3141 SCOTLAND,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=083004  00004 | Alt parcel: 08300400000040
Shelby,TN,Memphis,062012  00063,,1707 NATIONAL,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=062012  00063 | Alt parcel: 06201200000630
Shelby,TN,Memphis,075009  00008,,235 W FLYNN,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075009  00008 | Alt parcel: 07500900000080
Shelby,TN,Memphis,042024  00015C,,1333 N HOLLYWOOD,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=042024  00015C | Alt parcel: 0420240000015C
Shelby,TN,Memphis,080008 C00190,,1496 PINE SHADOWS,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=080008 C00190 | Alt parcel: 0800080C001900
Shelby,TN,Memphis,075087  00299,,3801 S AUDIE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075087  00299 | Alt parcel: 07508700002990
Shelby,TN,Memphis,070013  00016,,3239 MADEWELL,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=070013  00016 | Alt parcel: 07001300000160
Shelby,TN,Memphis,052082  00015,,889 POPE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=052082  00015 | Alt parcel: 05208200000150
Shelby,TN,Memphis,043023  00067C,,1599 BROOKINS,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=043023  00067C | Alt parcel: 0430230000067C
Shelby,TN,Memphis,022020  00013,,156 CEDAR,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=022020  00013 | Alt parcel: 02202000000130
Shelby,TN,Memphis,074037 H00127,,3548 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00127 | Alt parcel: 0740370H001270
Shelby,TN,Memphis,050057  00011,,180 E NORWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050057  00011 | Alt parcel: 05005700000110
Shelby,TN,Memphis,074037 H00038,,3512 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00038 | Alt parcel: 0740370H000380
Shelby,TN,Memphis,074037 H00102,,3538 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00102 | Alt parcel: 0740370H001020
Shelby,TN,Memphis,075077  00013,,330 ELDER,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075077  00013 | Alt parcel: 07507700000130
Shelby,TN,Memphis,D0255Q G00019,,7343 ROURKE,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=D0255Q G00019 | Alt parcel: D0255Q0G000190
Shelby,TN,Memphis,059031  00011,,2801 BREWER,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=059031  00011 | Alt parcel: 05903100000110
Shelby,TN,Memphis,021014  00012,,930 FAXON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=021014  00012 | Alt parcel: 02101400000120
Shelby,TN,Memphis,050045  00030,,0 TEMPLE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050045  00030 | Alt parcel: 05004500000300
